Community,Exposure Category,Not Sure Reason,Depth Category,Mean Depth Under Ice (m),Basin Depth (m),Shallow Fraction,Notes
"Akulivik","Lightly sheltered","","Moderate","27.6","148.2","0.46",""
"Arctic Bay","Extremely sheltered","","Deep","364","747.6","0.03",""
"Arviat","Lightly exposed","","Shallow","11.4","98","0.83",""
"Aupaluk","Lightly sheltered","","Shallow","6.5","132.5","0.91",""
"Cambridge Bay","Extremely sheltered","","Moderate","46.5","108","0.24",""
"Chesterfield Inlet","Lightly sheltered","","Moderate","25.6","118.2","0.53",""
"Churchill","Lightly sheltered","","Shallow","5.9","67","1",""
"Clyde River","Lightly sheltered","","Deep","179.8","478.2","0.07",""
"Coral Harbour","Lightly sheltered","","Moderate","18.5","69","0.58",""
"Gambell","Extremely exposed","","Shallow","6.5","65","0.87",""
"Gjoa Haven","Extremely sheltered","extremely sheltered in larger context but not on coastline itself ","Moderate","23.7","115","0.4",""
"Golovin","Lightly exposed","","Shallow","8.8","30","1",""
"Grise Fiord","Fjords","","Deep","417.5","843.5","0.1",""
"Hopedale","Extremely sheltered","","Moderate","33.4","574.9","0.46",""
"Igloolik","Lightly sheltered","","Moderate","44.8","165.2","0.36",""
"Ilulissat","Fjords","","Deep","189.5","786.2","0.33",""
"Inukjuak","Lightly sheltered","","Moderate","17.4","141.7","0.65",""
"Iqaluit","Extremely sheltered","","Deep","63.3","343.5","0.24",""
"Ivujivik","Lightly exposed","","Deep","147.8","525.8","0.23",""
"Kaktovik","Extremely exposed","","Shallow","12.8","171.9","0.77",""
"Kangiqsualujjuaq","Lightly sheltered","","Shallow","3.4","111","0.95",""
"Kangiqsujuaq","Lightly sheltered","","Shallow","15.4","280.1","0.78",""
"Kangirsuk","Lightly sheltered","","Shallow","14.3","121.1","0.77",""
"Kimmirut","Extremely sheltered","","Deep","54.1","323.1","0.26",""
"Kinngait","Lightly sheltered","","Moderate","19.3","439.3","0.66",""
"Kivalina","Extremely exposed","","Shallow","6.8","43","1",""
"Kotzebue","Lightly sheltered","","Shallow","6.2","25.9","1",""
"Kugluktuk","Lightly sheltered","","Deep","51.5","221.5","0.28",""
"Kuujjuaq","Extremely sheltered","pretty far down a river or opening? not sure ","Shallow","1","43.8","1",""
"Kuujjuaraapik","Lightly exposed","","Deep","79.3","194.9","0.08",""
"Makkovik","Lightly sheltered","","Moderate","35.9","904.2","0.38",""
"Nain","Extremely sheltered","","Moderate","40.3","221.8","0.3",""
"Nome","Extremely exposed","","Shallow","13.6","37.6","0.94",""
"Pangnirtung","Fjords","","Deep","123.4","1051","0.11",""
"Paulatuk","Lightly sheltered","","Moderate","40.5","156.6","0.28",""
"Point Hope","Extremely exposed","","Shallow","8.8","70.4","1",""
"Pond Inlet","Lightly sheltered","","Deep","530.6","1058","0.02",""
"Postville","Extremely sheltered","","Deep","47.9","173","0.24",""
"Puvirnituq","Lightly sheltered","","Shallow","12.6","62.4","0.79",""
"Qaanaaq","Fjords","","Deep","516.6","953.6","0.05",""
"Qikiqtarjuaq","Lightly sheltered","","Deep","236.4","692.1","0.04",""
"Quaqtaq","Lightly exposed","","Deep","52.3","390.6","0.41",""
"Rankin Inlet","Lightly sheltered","","Moderate","17.4","58.5","0.61",""
"Resolute","Lightly sheltered","","Deep","103.9","256","0.09",""
"Rigolet","Extremely sheltered","","Deep","58.6","282","0.4",""
"Sachs Harbour","Extremely exposed","","Moderate","36.1","391.1","0.47",""
"Salluit","Lightly sheltered","","Moderate","34.8","344.7","0.52",""
"Sanikiluaq","Lightly exposed","","Moderate","26.2","117.7","0.4",""
"Sanirajak","Lightly exposed","","Moderate","25.1","93.8","0.5",""
"Savoonga","Extremely exposed","","Shallow","3.4","54.5","1",""
"Shaktoolik","Lightly exposed","","Shallow","5.9","22","1",""
"Shishmaref","Extremely exposed","","Shallow","3.2","32","1",""
"Sisimiut","Fjords","","Deep","127.6","534.4","0.27",""
"Tasiujaq","Extremely sheltered","","Moderate","23.9","111.2","0.56",""
"Teller","Lightly exposed","","Shallow","8.7","28.9","1",""
"Tuktoyaktuk","Lightly exposed","","Shallow","3.6","26.2","1",""
"Uelen","Extremely exposed","","Moderate","16.2","104.4","0.61",""
"Ulukhaktok","Lightly exposed","","Deep","182.7","440.2","0.1",""
"Umiujaq","Lightly sheltered","","Deep","74.8","163.6","0.07",""
"Unalakleet","Lightly exposed","","Shallow","6.6","22","1",""
"Upernavik","Lightly exposed","","Deep","267.5","989.6","0.2",""
"Utqiagvik","Extremely exposed","","Moderate","15.5","274.5","0.67",""
"Uummannaq","Lightly exposed","","Deep","671","1467.9","0.01",""
"Wainwright","Extremely exposed","","Moderate","26.7","109.5","0.43",""
"Wales","Extremely exposed","","Shallow","9.5","82.7","0.94",""
"Whale Cove","Lightly sheltered","","Moderate","16.8","93.1","0.68",""
