Community,Region6,Lat,Lon,Chart_source,n_years,Median Ice Area (km2),IQR Ice Area (km2),Relative IQR,mk_tau,mk_p,ts_slope_km2yr,median_spring_melt_frac,sd_spring_melt_frac,median_feb_mar_gain,median_mar_apr_drop,median_melt_rate,median_march_ext,median_may_ext,Archetype,Ice Regime,Basin Depth (m),Frac <20m,Bottomfast Frac,Frac Depth >100m,Mean Depth Ice Extent (m),Coastline Complexity,Mean Freeze Month,Freeze Trend (mo/yr),Freeze Trend p,Mean Oct-Feb Temp (C),Mean Sep SST (C),Mean Sep OHC 0-50m (J/m2),Mean Wind Oct-Feb (m/s),Mean Oct-Nov Drift SIC,Interann. CV,Mean DJF Temp (C),Median Extent Recomputed (km),IQR Extent Recomputed (km),Relative IQR Extent,n_years_extent_recomputed,Solidity,Coastline Complexity v2,Coastline Category,Coastline Complexity v3,n_points_sampled,Feature Type,Mean Depth Under Ice (m),Frac <20m Under Ice,Frac <2m Under Ice,Frac >100m Under Ice,n_years_ice_mask,ice_mask_area_km2
Gambell,Alaska & Bering Sea,63.78,-171.73,NIC,8,126.6,87.8,0.69,0.3571428571428571,0.2750992063492063,14.795833333333333,,,,,,,0.0,A,C4 — Transitional,65.0,0.0814,0.0368,0.2515550676911818,43.9,,11.75,-0.0476,0.5472,-6.030993652343727,7.478509895503521,3.399545194387382,5.172929769280314,0.0012851291232638,0.0,-10.815135701497374,22.21,2.38,0.1072,8,0.8924624069199236,0.1075375930800763,Concave,0.3194,14,Bay,6.5,0.872,0.468,0.0,8,170.1
Golovin,Alaska & Bering Sea,64.55,-163.02,NIC,8,413.6,49.7,0.12,0.0714285714285714,0.9048611111111112,2.048809523809522,1.0,0.0,5.394,5.394,2.697,5.394,0.0,A,C2 — Keel-grounding,30.0,0.6491,0.0817,0.0,10.3,1.83,11.0,0.0,1.0,-8.676522827148414,10.81838435959071,11.26879774183887,3.532229278924466,0.1402187347412109,0.2417220151277952,-12.819855117797829,17.79,0.86,0.0482,8,0.6263227780316833,0.3736772219683166,Complex,0.2748,15,Mixed,8.8,0.998,0.062,0.0,8,617.6
Kivalina,Alaska & Bering Sea,67.73,-164.54,NIC,8,208.4,181.0,0.87,0.5714285714285714,0.0610119047619047,33.905,-1.953992523339992e-15,0.1405702758049084,0.0030569233631387,-0.0616852425289282,-4.884981308350689e-15,5.004247860808193,5.244316968722528,A,C2 — Keel-grounding,43.0,0.2155,0.0866,0.0,9.6,2.588,11.0,0.0,1.0,-11.66328497992619,8.19394513964653,8.172905424390274,3.747812508814401,0.0708160400390625,0.6773570542290225,-15.008657201131165,13.59,3.42,0.2515,8,0.9608274381335254,0.0391725618664745,Convex,0.1819,14,Bay,6.8,1.0,0.179,0.0,8,326.8
Kotzebue,Alaska & Bering Sea,66.9,-162.6,NIC,8,996.0,413.3,0.41,-0.0363696483726653,0.9007802600472398,-0.7799999999999955,-0.3354475098496568,0.7967611669339851,0.6523635185533654,-6.21108621042791,-2.284131209555654,12.705147366106328,24.00571636723098,A,C1 — Bottomfast-dominated,25.9,0.9344,0.122,0.0,9.4,1.672,10.88,-0.0119,0.8461,-11.32352803548175,8.881466120481491,5.023346311474647,3.748655498999444,0.3061540391710069,0.4771345995197287,-15.77135251363116,18.98,2.23,0.1172,8,0.6658616297028658,0.3341383702971342,Complex,0.36,26,Complex,6.2,1.0,0.115,0.0,8,1248.6
Nome,Alaska & Bering Sea,64.5,-165.41,NIC,8,135.4,59.1,0.44,-0.1428571428571428,0.7195436507936508,-8.240000000000002,,,,,,,0.0,A,C2 — Keel-grounding,37.6,0.341,0.0044,0.002080378250591,9.2,,11.0,0.0,1.0,-8.337503729926192,9.49102248251438,8.051538739466844,2.942907571101277,0.0255584716796875,0.0,-12.652049128214497,15.59,0.63,0.0404,8,0.8407485029111331,0.1592514970888668,Concave,0.0876,14,Peninsula,13.6,0.944,0.056,0.0,8,214.9
Point Hope,Alaska & Bering Sea,68.35,-166.8,NIC,7,236.9,322.5,1.36,-0.1428571428571428,0.7726190476190476,-24.800000000000004,0.0166417404064798,0.3103222218938236,0.6104109694676105,0.3367900000000001,0.0471903011405991,5.610537469467611,5.50916815648033,A,C2 — Keel-grounding,70.4,0.1721,0.0633,0.0,10.0,1.31,11.0,0.0,1.0,-10.42541961669922,8.229010907001793,3.232932080870031,3.750998825392885,0.0398273468017578,0.8544718571058988,-15.93565979003904,13.19,2.29,0.1736,7,0.901585900332297,0.0984140996677029,Convex,0.415,15,Complex,8.8,1.0,0.103,0.0,7,356.9
Savoonga,Alaska & Bering Sea,63.69,-170.48,NIC,8,87.3,130.8,1.5,0.0714285714285714,0.9048611111111112,3.6333333333333337,0.0,0.0,0.0,0.0,0.0,0.637090917840045,0.637090917840045,A,C2 — Keel-grounding,54.5,0.219,0.015,0.0,6.3,71.577,11.38,-0.1548,0.0388,-7.106905110677061,7.9527268409729,6.764972139364576,3.859510754167721,0.0029,0.0,-11.49840393066404,20.45,10.05,0.4913,8,0.7138022442129915,0.2861977557870084,Complex,0.2182,15,Bay,3.4,1.0,0.33,0.0,8,122.5
Shaktoolik,Alaska & Bering Sea,64.35,-161.22,NIC,8,285.0,181.6,0.64,-0.0714285714285714,0.9048611111111112,-2.8738095238095247,0.4074588296859471,0.4744820007824332,2.020024529051328,-0.0002195077473077,1.010012264525664,5.000000000000107,0.0,A,C2 — Keel-grounding,22.0,0.9608,0.0466,0.0,10.2,1.381,10.88,-0.0119,0.8461,-9.471255874633789,10.5127720059827,10.66677406551031,2.799630272887763,0.3852138519287109,0.3174176210169534,-12.942576471964497,16.21,1.05,0.0648,8,0.7492661469766363,0.2507338530233637,Complex,0.2498,15,Mixed,5.9,1.0,0.104,0.0,8,462.7
Shishmaref,Alaska & Bering Sea,66.26,-166.06,NIC,8,638.5,180.9,0.28,0.2142857142857142,0.5484126984126985,19.74285714285714,-0.0908914632976975,0.1407230414164675,0.0,0.0,-0.2277468705596554,5.011402674808242,5.466896578523432,A,C1 — Bottomfast-dominated,32.0,0.8189,0.4789,0.0,6.1,4.068,11.0,0.0,1.0,-9.408380466037304,8.499048851430416,4.261684980414199,2.944064431300568,0.0389912923177083,0.3765559881658218,-14.038523737589497,19.79,0.57,0.0291,8,0.7783836994647328,0.2216163005352671,Concave,0.4089,34,Complex,3.2,1.0,0.373,0.0,8,794.4
Teller,Alaska & Bering Sea,65.27,-166.36,NIC,8,588.2,20.2,0.03,0.2857142857142857,0.3987599206349206,0.6233333333333424,1.0,0.0,149.6,149.6,74.8,149.6,0.0,B,C2 — Keel-grounding,28.9,0.9422,0.0421,0.0,10.3,1.086,10.75,-0.0476,0.5472,-12.14692314995657,9.54649495985359,6.093116273729796,2.025630462222431,0.0169811248779296,0.3778733777611029,-16.678580983479797,17.27,0.5,0.0289,8,0.6636891172551692,0.3363108827448308,Complex,0.4349,15,Complex,8.7,1.0,0.096,0.0,8,661.4
Uelen,Alaska & Bering Sea,66.16,-169.8,NIC,8,352.2,239.3,0.68,0.2857142857142857,0.3987599206349206,44.60833333333333,0.0,0.197721443941616,-1.0123920000000002,-0.1041637750309334,0.0,5.081301948265376,5.027920753434787,A,C4 — Transitional,104.4,0.087,0.1785,0.0,12.7,0.46,11.25,-0.0714,0.3559,-9.149378967285156,5.16611226182431,0.8188948148840061,3.835563131909471,0.0444145202636718,0.328111656495842,-14.22089805603025,15.66,1.84,0.1177,8,0.7479741090223203,0.2520258909776797,Complex,0.4577,15,Complex,16.2,0.613,0.132,0.0,8,514.8
Unalakleet,Alaska & Bering Sea,63.88,-160.8,NIC,8,11.2,59.5,5.3147,-0.2,0.7194444444444444,-22.4,1.0,0.0202016638452686,2.7758873590743662,0.1068023830552906,2.5014177764717576,5.002835552943515,0.0,B,C2 — Keel-grounding,22.0,0.9863,0.0052,0.0,10.6,2.819,10.88,-0.0119,0.8461,-10.58802456325953,10.37418745458126,10.99598925745761,2.058192498893067,0.3084,1.839476013737039,-13.11485837300616,3.02,4.4,1.457,8,0.9869574250319968,0.013042574968003,Convex,0.1462,15,Peninsula,6.6,1.0,0.057,0.0,6,83.9
Wales,Alaska & Bering Sea,65.61,-168.08,NIC,8,412.2,233.2,0.57,0.3571428571428571,0.2750992063492063,42.31785714285715,-0.0166588711137629,0.2932397839393333,0.0,-4.220721575532645,-0.2281006944859545,8.959429277525416,11.209289638762698,A,C2 — Keel-grounding,82.7,0.1903,0.1633,0.0170973382552943,11.3,2.999,11.38,-0.1548,0.0388,-7.94379713270397,6.674530282616615,5.672585825279121,4.217820253304028,0.015775892469618,0.6253,-12.891632461547829,18.52,1.35,0.0726,8,0.7768974922423086,0.2231025077576913,Concave,0.3618,21,Complex,9.5,0.935,0.26,0.0,8,574.0
Arctic Bay,Baffin & Davis Strait,73.03,-85.17,CIS/EA,8,1195.5,0.0,0.0,-0.3571428571428571,0.2752335240748342,0.0,0.0,5.449254308006139e-10,0.0,0.0,0.0,45.87795428588642,45.87795428588642,B,C3 — Geometric anchoring,747.6,0.0232,0.006,0.8937084798749512,339.2,1.29,9.62,0.131,0.1012,-23.42878011067706,1.507868707180023,0.7724433533434557,1.285488156741158,0.5275,7.734311088992942e-09,-30.942903264363583,18.86,0.0,0.0,8,0.4765692168763184,0.5234307831236815,Complex,0.3042,15,Peninsula,364.0,0.029,0.001,0.874,8,1353.8
